Player Name,Current LP
robivankenob#NA1,442
ms gwen#llama,440
one autuumn leaf#blank,437
boomiboom#boomi,436
tboy PhD#NA1,436
TACOBELL WlFl#NA1,435
horim#NA1,432
DonkeyRoller#1212,432
Moechi#dpr,427
keans#NA1,424
Wong#HELLO,421
Lrwinnn#NA1,420
harrison#00000,417
Groxie#NA1,417
tbone#747,413
Pr1vateisPenguin#NA1,410
kpk618#NA1,409
JesusTeemo#NA1,408
ning#poke,405
Nostereleven#NA1,401
Sir Noots#EGirl,400
Dino0228#NA1,397
Willia#Will,396
Yoohoo#6969,395
yawn#lyssa,392
Shabby#NA1,391
Sully#6242,391
silencer142#NA1,391
LadderSlayer#NA1,391
DSG Toast#1337,390
Post Up#shot,389
dink my oiter#000,386
Zurk#DLC,385
I Take Drugs#lmao,383
Quality Teammate#4878,382
WHALEOFPEACE#NA1,380
Sunny#TFT,380
Taco#4FUN,380
Lazuli#0000,379
Learning TFT#NA1,377
Eo Soo#eosoo,376
Rednex#NA1,375
pitzy#2676,374
Millennium Fox#TFT1,374
Lab 002 Dinodan#LAB,367
Labl3r#NA1,365
chillmet#000,363
Lab039erinkuma#erm,362
cn丶werid#4452,358
New Learning TFT#NA1,358
Dreynox#NA1,356
53414D#5955,355
yoni#7601,353
marmle#marm,352
doge#stew,349
natural 8#NA2,348
Lab 008 V1L3#NA1,345
akali#0002,344
Subzeroark#NA1,343
Tomix#00000,341
Ashayuni#lives,341
Chikapu#7755,337
TTV thekrayc#NA1,336
Lab 001 Maki#LAB,334
iCopyKeane#SIMP,334
LoverOfPies#314,333
Jeuynh#NA1,331
LukeLarson#SLL,331
superiority#kid,329
mimivirus#NA1,328
chicken#4106,328
Luqun#NA1,326
campislife20#NA1,321
DreadEye#NA2,319
BidetBoy#Bidet,319
RFG JasonLin24#RFG,316
BananaShack#NA1,315
snacklepackle#NA1,313
OneButtonHero#NA1,309
paulhnlee#TFT,305
hmm#NA1,305
Nephthysp#NA1,305
yolomycolin#NA1,303
deca1#xiu1,303
MJH#mitch,302
GeneralCai#NA1,298
Vuo#NA1,295
KiBi#NA1,294
Frodan#FRO,292
Bozo#CHEEK,291
phura#cris,291
mein#pengu,284
skinnyuglybaby#NA1,283
cneryx1#000,282
maliuwu9#1250,278
Rakki Ryu#vtube,277
weird#4201,274
Gator#3345,273
TFT Rex#7670,272
Qpote#NA1,270
Oh Hey#2337,267
Trade#6969,266
Xiaou#YVNG,265
chan#chan,264
Pun#TFT,264
snoopdong#PogO,263
TSphere#NA1,263
DrLilCabes#NA1,262
Daeyle#5676,261
Spooxy#NA1,260
RalpherZ#NA1,259
DashDing#大神丁,257
jeddi#YER,253
tuna fish#001,251
nctn#NA2,246
PogiTheCorgi#Pogi,245
Anx#TWICE,244
MTS#amaze,243
junglebook1#NA1,243
lucky#3663,229
XXY#3208,229
Tarturus#NA1,228
Troy Moon#1337,227
yoohnTFT#NA1,225
Pizza#peko,224
Ripple Overdrive#NA1,221
martini blue#hitc,220
syz#0021,217
Toce#NA1,216
baka25#NA1,213
One Reason#NA1,213
Predator#TFT,211
sponcyy#NA1,210
Connerisme#NA1,210
A Common Quail#NA1,210
Crushings#NA1,209
Ichigo#NA1,205
Krumpus#NA1,203
廁所在哪裡#11111,200
Spearklez#LTG,196
calveen#tft,194
kramsey#NA1,189
Bruhbruhbruh WHO#NA1,187
Hanneko#NA1,184
bennyS#001,183
ccasely#NA1,182
NattyFru#NA1,182
pannyandrew#pan,180
catgorl#666,179
ChénnyBoy#NA1,175
Flightzy#bot,175
Smites#NA2,166
PeaceSai#NA1,163
Cool Guy Dom#dom,162
zHydration#NA1,160
Lab 028 Majority#TFT,160
Kurt Angle#PMD,160
Freebird#XDD,159
BBG#CCJY9,155
Hanni Super Fan#NWJNS,155
Sirturtlelot#HUH,153
5tunt#NA1,152
Bradini#NA1,151
PhoenixLXIX#NA1,151
iStudyy#1075,150
TurtlezForSale#NA1,150
Bulls0717#8888,150
PiratesZ#NA1,149
DXN#OwO,147
Marshmadillo#NA1,144
Casual#pdf,143
Dufaux#NA1,142
A5 Wagyu#4297,142
SZK isjerboa#TOTT,141
A Cute Cat IRL#NA1,141
Simplenmm#NA1,140
ThisJX#NA1,135
Eunhyukie#Cee,132
ILoveFnaf#1995,132
alpi#rckts,131
Movie#NA1,129
OneLifeLeft#0003,128
Cheneth#MEOW,128
Darvinism#3389,127
aricast#arc,124
TrajanTheCruel#NA1,123
AdminK#8105,121
Franchise#Thee,120
MarioKartPlayer5#MKW,119
Effen#NA1,118
Sploke#NA1,118
shoma#INT1,117
Downpour#0002,116
Papa Nor#0000,113
M0Mboom#NA1,110
Honkers#HONKK,110
DOAdacha#wawa,106
Kachowski#ratio,106
Skolariss#スコラリス,105
Rimsponches#NA1,105
Oscat#dog,105
Drikk#TFT,104
Vancell#NA1,101
Kayris#Kris,100
CookiesOP#NA1,96
yibb#7693,96
CookiesOP#NA1,96
metamagic#5203,94
kai#00003,93
Shine#NA3,90
farland1339#NA1,90
dogdogdog#NA1,89
jameson#jaja,89
Shadow x 17#NA1,87
theOnLy1z#NA1,86
ache essay#NA1,85
Sshade#noob,85
Perplex#NA2,83
Strategies#NA1,80
Bỉ Ngạn Trắng#sonbe,78
Leeann#NA11,77
XxX Wix XxX#NA1,77
Absoleus#bonk,76
nL Matt#NA1,74
Moose#HaH,73
shizuka#NA1,72
Ala#NA1,70
NicNac19#6752,67
PunnyTFT#yyc,65
IPwnHao#NA1,60
billycancarry1#NA1,59
Guario#NA1,59
wah#8174,55
Escom#NA1,52
Astana#NA1,50
Ramenblitz#SCTFT,49
Usualtrash#NA1,49
DrewbeeTV#TFT,47
Koyles#NA1,43
Tettles#NA1,37
swan swan#swan,36
Ryosh#NA1,36
ToonCakez#NA1,32
ShallowZ#NA1,29
zhunation#ZHU,21
IDxmo#NA1,15
Bright#TFT,4
ActualSocks#NA1,0
Diejoubu#XDD,0
Buggawolf#Bugga,0
